file_name,folder_name,accent
barishal_audio_01_augmented.wav,barishal augmented,barishal
barishal_audio_02_augmented.wav,barishal augmented,barishal
barishal_audio_03_augmented.wav,barishal augmented,barishal
barishal_audio_04_augmented.wav,barishal augmented,barishal
barishal_audio_05_augmented.wav,barishal augmented,barishal
barishal_audio_06_augmented.wav,barishal augmented,barishal
barishal_audio_07_augmented.wav,barishal augmented,barishal
barishal_audio_08_augmented.wav,barishal augmented,barishal
barishal_audio_09_augmented.wav,barishal augmented,barishal
barishal_audio_100_augmented.wav,barishal augmented,barishal
barishal_audio_101_augmented.wav,barishal augmented,barishal
barishal_audio_102_augmented.wav,barishal augmented,barishal
barishal_audio_103_augmented.wav,barishal augmented,barishal
barishal_audio_104_augmented.wav,barishal augmented,barishal
barishal_audio_105_augmented.wav,barishal augmented,barishal
barishal_audio_106_augmented.wav,barishal augmented,barishal
barishal_audio_107_augmented.wav,barishal augmented,barishal
barishal_audio_108_augmented.wav,barishal augmented,barishal
barishal_audio_109_augmented.wav,barishal augmented,barishal
barishal_audio_10_augmented.wav,barishal augmented,barishal
barishal_audio_110_augmented.wav,barishal augmented,barishal
barishal_audio_111_augmented.wav,barishal augmented,barishal
barishal_audio_112_augmented.wav,barishal augmented,barishal
barishal_audio_113_augmented.wav,barishal augmented,barishal
barishal_audio_114_augmented.wav,barishal augmented,barishal
barishal_audio_11_augmented.wav,barishal augmented,barishal
barishal_audio_12_augmented.wav,barishal augmented,barishal
barishal_audio_13_augmented.wav,barishal augmented,barishal
barishal_audio_14_augmented.wav,barishal augmented,barishal
barishal_audio_15_augmented.wav,barishal augmented,barishal
barishal_audio_16_augmented.wav,barishal augmented,barishal
barishal_audio_17_augmented.wav,barishal augmented,barishal
barishal_audio_18_augmented.wav,barishal augmented,barishal
barishal_audio_19_augmented.wav,barishal augmented,barishal
barishal_audio_20_augmented.wav,barishal augmented,barishal
barishal_audio_21_augmented.wav,barishal augmented,barishal
barishal_audio_22_augmented.wav,barishal augmented,barishal
barishal_audio_23_augmented.wav,barishal augmented,barishal
barishal_audio_24_augmented.wav,barishal augmented,barishal
barishal_audio_25_augmented.wav,barishal augmented,barishal
barishal_audio_26_augmented.wav,barishal augmented,barishal
barishal_audio_27_augmented.wav,barishal augmented,barishal
barishal_audio_28_augmented.wav,barishal augmented,barishal
barishal_audio_29_augmented.wav,barishal augmented,barishal
barishal_audio_30_augmented.wav,barishal augmented,barishal
barishal_audio_31_augmented.wav,barishal augmented,barishal
barishal_audio_32_augmented.wav,barishal augmented,barishal
barishal_audio_33_augmented.wav,barishal augmented,barishal
barishal_audio_34_augmented.wav,barishal augmented,barishal
barishal_audio_35_augmented.wav,barishal augmented,barishal
barishal_audio_36_augmented.wav,barishal augmented,barishal
barishal_audio_37_augmented.wav,barishal augmented,barishal
barishal_audio_38_augmented.wav,barishal augmented,barishal
barishal_audio_39_augmented.wav,barishal augmented,barishal
barishal_audio_40_augmented.wav,barishal augmented,barishal
barishal_audio_41_augmented.wav,barishal augmented,barishal
